,Ground energy,Opt_gamma_beta,Counts,Approx. ratio
12,5.0,[-0.79763908  0.33679358],"{'00000': 6, '00001': 20, '00011': 31, '00100': 32, '00101': 114, '00110': 17, '00111': 114, '01001': 19, '01010': 5, '01011': 27, '01100': 15, '01101': 90, '01110': 3, '01111': 12, '10000': 13, '10001': 1, '10010': 105, '10011': 11, '10100': 46, '10101': 4, '10110': 24, '11000': 101, '11001': 17, '11010': 132, '11011': 37, '11100': 12, '11101': 1, '11110': 11, '11111': 4}",1.25927734375
13,4.4990234375,[-0.73987678  0.36345321],"{'00000': 9, '00001': 14, '00010': 1, '00011': 22, '00100': 31, '00101': 135, '00110': 22, '00111': 109, '01000': 1, '01001': 18, '01010': 2, '01011': 23, '01100': 22, '01101': 101, '01110': 2, '01111': 16, '10000': 8, '10001': 6, '10010': 90, '10011': 19, '10100': 24, '10101': 4, '10110': 11, '11000': 95, '11001': 21, '11010': 138, '11011': 35, '11100': 23, '11101': 1, '11110': 14, '11111': 7}",1.137451171875
14,3.607421875,[-0.40604775  0.04093886],"{'00000': 14, '00001': 13, '00010': 21, '00011': 28, '00100': 42, '00101': 63, '00110': 27, '00111': 76, '01000': 14, '01001': 43, '01010': 11, '01011': 32, '01100': 28, '01101': 65, '01110': 10, '01111': 18, '10000': 14, '10010': 50, '10011': 21, '10100': 39, '10101': 9, '10110': 44, '10111': 24, '11000': 60, '11001': 48, '11010': 74, '11011': 55, '11100': 37, '11101': 19, '11110': 9, '11111': 16}",0.89990234375
15,2.88671875,[-0.73097837  0.30857897],"{'00000': 2, '00001': 3, '00011': 23, '00100': 46, '00101': 131, '00110': 18, '00111': 96, '01001': 23, '01010': 1, '01011': 48, '01100': 15, '01101': 95, '01110': 2, '01111': 7, '10000': 7, '10001': 6, '10010': 114, '10011': 21, '10100': 32, '10101': 1, '10110': 33, '11000': 87, '11001': 19, '11010': 113, '11011': 42, '11100': 23, '11110': 9, '11111': 7}",0.724853515625
16,5.623046875,[-0.80283546  0.3609453 ],"{'00000': 3, '00001': 15, '00010': 3, '00011': 16, '00100': 33, '00101': 121, '00110': 18, '00111': 96, '01000': 2, '01001': 13, '01010': 4, '01011': 41, '01100': 12, '01101': 90, '01110': 1, '01111': 12, '10000': 19, '10001': 2, '10010': 102, '10011': 19, '10100': 54, '10101': 7, '10110': 16, '10111': 3, '11000': 91, '11001': 14, '11010': 122, '11011': 42, '11100': 20, '11101': 4, '11110': 25, '11111': 4}",1.417236328125
17,3.2216796875,[-0.92808203  0.41653727],"{'00000': 4, '00001': 45, '00010': 11, '00011': 8, '00100': 31, '00101': 124, '00110': 7, '00111': 77, '01000': 9, '01001': 18, '01010': 9, '01011': 48, '01100': 15, '01101': 72, '01111': 41, '10000': 54, '10001': 1, '10010': 78, '10011': 11, '10100': 51, '10101': 12, '10110': 12, '10111': 13, '11000': 77, '11001': 11, '11010': 96, '11011': 28, '11100': 13, '11101': 7, '11110': 40, '11111': 1}",0.819091796875
18,5.783203125,[-0.78756039  0.32824689],"{'00000': 7, '00001': 7, '00010': 1, '00011': 22, '00100': 35, '00101': 135, '00110': 14, '00111': 107, '01000': 2, '01001': 26, '01010': 5, '01011': 45, '01100': 15, '01101': 106, '01111': 9, '10000': 9, '10001': 3, '10010': 99, '10011': 18, '10100': 32, '10101': 4, '10110': 23, '10111': 2, '11000': 104, '11001': 21, '11010': 104, '11011': 28, '11100': 21, '11101': 4, '11110': 15, '11111': 1}",1.42724609375
19,4.3544921875,[-0.85907186  0.3780526 ],"{'00000': 3, '00001': 31, '00010': 5, '00011': 17, '00100': 31, '00101': 107, '00110': 18, '00111': 80, '01000': 3, '01001': 17, '01010': 6, '01011': 43, '01100': 16, '01101': 88, '01111': 35, '10000': 34, '10001': 2, '10010': 96, '10011': 11, '10100': 47, '10101': 6, '10110': 14, '10111': 8, '11000': 92, '11001': 19, '11010': 121, '11011': 24, '11100': 13, '11101': 5, '11110': 29, '11111': 3}",1.064697265625
20,2.98828125,[-0.70199717  0.23865551],"{'00000': 1, '00011': 45, '00100': 44, '00101': 94, '00110': 20, '00111': 107, '01000': 5, '01001': 29, '01011': 51, '01100': 25, '01101': 113, '01110': 3, '10001': 1, '10010': 99, '10011': 23, '10100': 39, '10110': 25, '11000': 96, '11001': 20, '11010': 106, '11011': 52, '11100': 21, '11101': 2, '11111': 3}",0.7490234375
21,4.55859375,[-0.8347875   0.35765241],"{'00000': 8, '00001': 16, '00010': 3, '00011': 18, '00100': 33, '00101': 97, '00110': 14, '00111': 95, '01000': 6, '01001': 18, '01010': 7, '01011': 39, '01100': 15, '01101': 113, '01111': 21, '10000': 19, '10001': 2, '10010': 93, '10011': 16, '10100': 42, '10101': 3, '10110': 24, '10111': 4, '11000': 94, '11001': 21, '11010': 119, '11011': 35, '11100': 18, '11101': 2, '11110': 19, '11111': 10}",1.130615234375
22,4.27734375,[-0.67820891  0.35471688],"{'00000': 1, '00001': 6, '00010': 2, '00011': 23, '00100': 37, '00101': 122, '00110': 26, '00111': 100, '01000': 2, '01001': 22, '01010': 6, '01011': 36, '01100': 13, '01101': 89, '01110': 5, '01111': 6, '10000': 11, '10001': 7, '10010': 128, '10011': 24, '10100': 30, '10101': 6, '10110': 16, '10111': 1, '11000': 108, '11001': 24, '11010': 109, '11011': 32, '11100': 24, '11101': 1, '11110': 6, '11111': 1}",1.055908203125
23,4.193359375,[-0.77776051  0.30938017],"{'00000': 5, '00001': 10, '00011': 25, '00100': 39, '00101': 118, '00110': 24, '00111': 98, '01000': 1, '01001': 21, '01010': 1, '01011': 52, '01100': 22, '01101': 100, '01110': 2, '01111': 5, '10000': 11, '10001': 1, '10010': 97, '10011': 22, '10100': 38, '10101': 3, '10110': 23, '10111': 2, '11000': 103, '11001': 12, '11010': 117, '11011': 37, '11100': 21, '11110': 10, '11111': 4}",1.0498046875
24,2.6171875,[-0.65984036  0.19585925],"{'00000': 1, '00001': 1, '00010': 6, '00011': 35, '00100': 46, '00101': 95, '00110': 28, '00111': 77, '01000': 4, '01001': 28, '01011': 45, '01100': 28, '01101': 84, '01110': 4, '01111': 2, '10000': 2, '10001': 5, '10010': 104, '10011': 18, '10100': 41, '10110': 34, '10111': 5, '11000': 99, '11001': 27, '11010': 116, '11011': 46, '11100': 35, '11101': 8}",0.653076171875
25,3.1689453125,[-0.86598242  0.32109155],"{'00000': 2, '00001': 24, '00010': 4, '00011': 38, '00100': 28, '00101': 99, '00110': 15, '00111': 94, '01000': 5, '01001': 18, '01010': 7, '01011': 46, '01100': 18, '01101': 95, '01110': 2, '01111': 19, '10000': 17, '10010': 97, '10011': 8, '10100': 29, '10101': 7, '10110': 26, '10111': 1, '11000': 106, '11001': 13, '11010': 115, '11011': 35, '11100': 23, '11101': 5, '11110': 22, '11111': 6}",0.796142578125
26,4.2138671875,[-0.78101145  0.34193452],"{'00000': 2, '00001': 9, '00011': 28, '00100': 30, '00101': 107, '00110': 20, '00111': 100, '01000': 1, '01001': 29, '01010': 4, '01011': 44, '01100': 15, '01101': 109, '01110': 3, '01111': 17, '10000': 13, '10001': 2, '10010': 108, '10011': 24, '10100': 41, '10101': 1, '10110': 23, '10111': 2, '11000': 98, '11001': 18, '11010': 116, '11011': 29, '11100': 15, '11110': 10, '11111': 6}",1.052734375
27,3.5166015625,[-0.90116505  0.44105139],"{'00000': 5, '00001': 49, '00010': 10, '00011': 14, '00100': 24, '00101': 99, '00110': 9, '00111': 78, '01000': 19, '01001': 14, '01010': 21, '01011': 46, '01100': 10, '01101': 66, '01111': 48, '10000': 53, '10010': 90, '10011': 9, '10100': 38, '10101': 9, '10110': 12, '10111': 12, '11000': 73, '11001': 13, '11010': 115, '11011': 23, '11100': 10, '11101': 12, '11110': 39, '11111': 4}",0.892822265625
28,5.0732421875,[-0.80674752  0.33012302],"{'00000': 6, '00001': 15, '00010': 3, '00011': 19, '00100': 39, '00101': 105, '00110': 11, '00111': 110, '01000': 1, '01001': 25, '01010': 1, '01011': 46, '01100': 16, '01101': 100, '01110': 3, '01111': 15, '10000': 10, '10001': 2, '10010': 112, '10011': 14, '10100': 39, '10101': 1, '10110': 17, '10111': 1, '11000': 101, '11001': 20, '11010': 109, '11011': 25, '11100': 32, '11101': 1, '11110': 20, '11111': 5}",1.278564453125
