,Ground energy,Opt_gamma_beta,Counts,Approx. ratio,Min. key,Last iter.
10,2,"[[-0.11508691  0.43644056]
 [-0.26434898  0.27897888]
 [-0.35205254  0.19434422]
 [-0.4491336   0.16286066]
 [-0.55146885  0.08601362]]","{'0000': 2, '0001': 34, '0010': 29, '0011': 44, '0100': 20001, '0101': 14720, '0110': 14963, '0111': 2, '1000': 6, '1001': 15113, '1010': 14984, '1011': 19995, '1100': 56, '1101': 21, '1110': 29, '1111': 1}",0.99919206,"['0100', '0101', '0110', '1001', '1010', '1011']",15
11,2,"[[-0.2775576   0.509967  ]
 [-0.37043816  0.26317176]
 [-0.43751878  0.27237737]
 [-0.42197654  0.23273319]
 [-0.6080191   0.20389812]]","{'0001': 123, '0010': 4, '0011': 6, '0100': 133, '0101': 331, '0110': 49246, '0111': 3, '1000': 6, '1001': 49560, '1010': 303, '1011': 138, '1100': 7, '1101': 4, '1110': 136}",0.9956255,"['0110', '1001']",14
12,2,"[[-0.2775576   0.509967  ]
 [-0.37043816  0.26317176]
 [-0.43751878  0.27237737]
 [-0.42197654  0.23273319]
 [-0.6080191   0.20389812]]","{'0001': 133, '0010': 4, '0011': 5, '0100': 134, '0101': 348, '0110': 49239, '0111': 7, '1000': 12, '1001': 49495, '1010': 324, '1011': 154, '1100': 3, '1101': 9, '1110': 133}",0.9956255,"['0110', '1001']",14
13,2,"[[-0.19243553  0.44453385]
 [-0.25028506  0.26548   ]
 [-0.3484762   0.18842125]
 [-0.4035974   0.24566218]
 [-0.5032399   0.18068846]]","{'0010': 50232, '1101': 49768}",0.99999833,"['0010', '1101']",13
14,3,"[[-0.18877856  0.40491736]
 [-0.3477908   0.19212854]
 [-0.44536534  0.2497356 ]
 [-0.45401275  0.3278334 ]
 [-0.5279778   0.20902343]]","{'0001': 10, '0010': 8, '0011': 49843, '0100': 20, '0101': 39, '0110': 24, '0111': 35, '1000': 13, '1001': 35, '1010': 26, '1011': 24, '1100': 49911, '1101': 5, '1110': 7}",0.99924755,"['0011', '1100']",19
15,3,"[[-0.18877853  0.40491733]
 [-0.34779078  0.19212855]
 [-0.44536537  0.24973562]
 [-0.45401278  0.32783338]
 [-0.52797776  0.2090234 ]]","{'0001': 30, '0010': 13, '0011': 34, '0100': 30, '0101': 49932, '0110': 31, '0111': 16, '1000': 10, '1001': 40, '1010': 49769, '1011': 15, '1100': 29, '1101': 9, '1110': 42}",0.99924755,"['0101', '1010']",19
16,2,"[[-0.2775576   0.509967  ]
 [-0.37043813  0.26317173]
 [-0.43751878  0.2723774 ]
 [-0.42197657  0.23273318]
 [-0.6080191   0.20389813]]","{'0001': 152, '0010': 3, '0011': 49558, '0100': 137, '0101': 325, '0110': 5, '0111': 3, '1000': 8, '1001': 4, '1010': 338, '1011': 146, '1100': 49184, '1101': 7, '1110': 130}",0.9956255,"['0011', '1100']",14
17,2,"[[-0.19243552  0.44453385]
 [-0.25028506  0.26548004]
 [-0.3484762   0.18842125]
 [-0.40359744  0.2456622 ]
 [-0.5032399   0.18068846]]","{'0100': 49694, '0111': 1, '1011': 50305}",0.99999833,"['0100', '1011']",13
18,2,"[[-0.11508695  0.43644053]
 [-0.264349    0.27897885]
 [-0.3520526   0.19434421]
 [-0.44913357  0.16286062]
 [-0.5514688   0.08601361]]","{'0001': 20271, '0010': 27, '0011': 14713, '0100': 7, '0101': 43, '0110': 15021, '0111': 30, '1000': 32, '1001': 14702, '1010': 46, '1011': 2, '1100': 15018, '1101': 42, '1110': 20045, '1111': 1}",0.9991922,"['0001', '0011', '0110', '1001', '1100', '1110']",15
19,2,"[[-0.2775576   0.509967  ]
 [-0.37043816  0.26317176]
 [-0.43751878  0.27237737]
 [-0.42197654  0.23273319]
 [-0.6080191   0.20389812]]","{'0001': 137, '0010': 5, '0011': 49358, '0100': 8, '0101': 8, '0110': 346, '0111': 156, '1000': 139, '1001': 339, '1010': 4, '1011': 4, '1100': 49370, '1101': 5, '1110': 121}",0.9956255,"['0011', '1100']",14
20,3,"[[-0.15188278  0.4164917 ]
 [-0.18651946  0.3099604 ]
 [-0.25705048  0.24250701]
 [-0.3859248   0.12789696]
 [-0.5187416   0.13891424]]","{'0011': 16609, '0101': 16740, '0110': 16710, '1001': 16444, '1010': 16658, '1100': 16838, '1101': 1}",0.99999654,"['0011', '0101', '0110', '1001', '1010', '1100']",18
21,3,"[[-0.18877853  0.4049173 ]
 [-0.3477908   0.19212855]
 [-0.44536543  0.24973562]
 [-0.45401275  0.32783335]
 [-0.5279777   0.2090234 ]]","{'0001': 4, '0010': 34, '0011': 38, '0100': 25, '0101': 30, '0110': 49853, '0111': 8, '1000': 9, '1001': 49888, '1010': 28, '1011': 19, '1100': 32, '1101': 21, '1110': 11}",0.99924755,"['0110', '1001']",19
22,3,"[[-0.18877855  0.40491733]
 [-0.34779078  0.19212855]
 [-0.4453654   0.24973562]
 [-0.45401278  0.32783338]
 [-0.52797776  0.2090234 ]]","{'0001': 24, '0010': 7, '0011': 22, '0100': 13, '0101': 47, '0110': 49902, '0111': 32, '1000': 30, '1001': 49816, '1010': 28, '1011': 5, '1100': 42, '1101': 8, '1110': 24}",0.99924755,"['0110', '1001']",19
23,3,"[[-0.18877855  0.40491733]
 [-0.34779078  0.19212855]
 [-0.4453654   0.24973562]
 [-0.45401278  0.32783338]
 [-0.52797776  0.2090234 ]]","{'0001': 32, '0010': 8, '0011': 37, '0100': 11, '0101': 34, '0110': 49685, '0111': 26, '1000': 35, '1001': 50014, '1010': 37, '1011': 8, '1100': 47, '1101': 3, '1110': 23}",0.99924755,"['0110', '1001']",19
24,2,"[[-0.11508691  0.43644056]
 [-0.26434895  0.27897888]
 [-0.35205254  0.19434422]
 [-0.4491336   0.16286066]
 [-0.55146885  0.08601363]]","{'0000': 1, '0001': 38, '0010': 5, '0011': 14900, '0100': 30, '0101': 46, '0110': 14881, '0111': 20201, '1000': 20200, '1001': 14768, '1010': 46, '1011': 25, '1100': 14825, '1101': 5, '1110': 28, '1111': 1}",0.99919206,"['0011', '0110', '0111', '1000', '1001', '1100']",15
25,2,"[[-0.2775576   0.509967  ]
 [-0.37043816  0.26317176]
 [-0.43751878  0.27237737]
 [-0.42197654  0.23273319]
 [-0.6080191   0.20389812]]","{'0001': 2, '0010': 144, '0011': 4, '0100': 5, '0101': 362, '0110': 49194, '0111': 150, '1000': 135, '1001': 49545, '1010': 314, '1011': 8, '1100': 3, '1101': 130, '1110': 4}",0.9956255,"['0110', '1001']",14
26,2,"[[-0.19243553  0.44453385]
 [-0.25028506  0.26548   ]
 [-0.3484762   0.18842125]
 [-0.4035974   0.24566218]
 [-0.5032399   0.18068846]]","{'0010': 49989, '1101': 50011}",0.99999833,"['0010', '1101']",13
27,3,"[[-0.18877856  0.40491736]
 [-0.3477908   0.19212854]
 [-0.44536534  0.2497356 ]
 [-0.45401275  0.3278334 ]
 [-0.5279778   0.20902343]]","{'0001': 8, '0010': 3, '0011': 49635, '0100': 25, '0101': 31, '0110': 39, '0111': 26, '1000': 32, '1001': 30, '1010': 31, '1011': 43, '1100': 50079, '1101': 10, '1110': 8}",0.99924755,"['0011', '1100']",19
28,2,"[[-0.2775576   0.50996697]
 [-0.37043807  0.26317173]
 [-0.4375188   0.2723774 ]
 [-0.42197654  0.2327332 ]
 [-0.6080192   0.20389813]]","{'0001': 9, '0010': 6, '0011': 343, '0100': 140, '0101': 49189, '0110': 5, '0111': 128, '1000': 139, '1001': 9, '1010': 49539, '1011': 138, '1100': 347, '1101': 4, '1110': 4}",0.9956255,"['0101', '1010']",14
29,2,"[[-0.11508691  0.43644056]
 [-0.26434895  0.27897888]
 [-0.35205254  0.19434422]
 [-0.4491336   0.16286066]
 [-0.55146885  0.08601363]]","{'0001': 23, '0010': 6, '0011': 14975, '0100': 25, '0101': 45, '0110': 14945, '0111': 19947, '1000': 20267, '1001': 15031, '1010': 57, '1011': 28, '1100': 14619, '1101': 6, '1110': 23, '1111': 3}",0.99919206,"['0011', '0110', '0111', '1000', '1001', '1100']",15
30,2,"[[-0.2775576   0.50996697]
 [-0.37043807  0.26317173]
 [-0.4375188   0.2723774 ]
 [-0.42197654  0.2327332 ]
 [-0.6080192   0.20389813]]","{'0001': 5, '0010': 132, '0011': 49131, '0100': 8, '0101': 318, '0110': 6, '0111': 134, '1000': 124, '1001': 8, '1010': 335, '1011': 6, '1100': 49635, '1101': 153, '1110': 4, '1111': 1}",0.9956255,"['0011', '1100']",14
31,2,"[[-0.2775576   0.50996697]
 [-0.37043807  0.26317173]
 [-0.4375188   0.2723774 ]
 [-0.42197654  0.2327332 ]
 [-0.6080192   0.20389813]]","{'0001': 5, '0010': 7, '0011': 337, '0100': 128, '0101': 49196, '0110': 1, '0111': 136, '1000': 139, '1001': 8, '1010': 49532, '1011': 145, '1100': 351, '1101': 2, '1110': 13}",0.9956255,"['0101', '1010']",14
32,3,"[[-0.18877853  0.4049173 ]
 [-0.3477908   0.19212855]
 [-0.44536543  0.24973562]
 [-0.45401275  0.32783335]
 [-0.5279777   0.2090234 ]]","{'0001': 3, '0010': 22, '0011': 36, '0100': 40, '0101': 43, '0110': 49753, '0111': 11, '1000': 9, '1001': 49980, '1010': 22, '1011': 21, '1100': 34, '1101': 23, '1110': 2, '1111': 1}",0.99924755,"['0110', '1001']",19
33,3,"[[-0.15188278  0.4164917 ]
 [-0.18651946  0.3099604 ]
 [-0.25705048  0.24250701]
 [-0.3859248   0.12789696]
 [-0.5187416   0.13891424]]","{'0011': 16592, '0100': 1, '0101': 16799, '0110': 16879, '1001': 16517, '1010': 16561, '1100': 16651}",0.99999654,"['0011', '0101', '0110', '1001', '1010', '1100']",18
34,2,"[[-0.11508695  0.43644053]
 [-0.264349    0.27897885]
 [-0.3520526   0.19434421]
 [-0.44913357  0.16286062]
 [-0.5514688   0.08601361]]","{'0000': 2, '0001': 20110, '0010': 34, '0011': 14836, '0100': 9, '0101': 58, '0110': 14781, '0111': 31, '1000': 27, '1001': 14860, '1010': 47, '1011': 5, '1100': 14970, '1101': 35, '1110': 20193, '1111': 2}",0.9991922,"['0001', '0011', '0110', '1001', '1100', '1110']",15
35,3,"[[-0.15188278  0.4164917 ]
 [-0.18651946  0.3099604 ]
 [-0.25705048  0.24250701]
 [-0.3859248   0.12789696]
 [-0.5187416   0.13891424]]","{'0011': 16600, '0101': 16489, '0110': 16732, '1001': 16714, '1010': 16775, '1100': 16690}",0.99999654,"['0011', '0101', '0110', '1001', '1010', '1100']",18
36,2,"[[-0.11508693  0.43644056]
 [-0.26434898  0.27897885]
 [-0.3520526   0.19434422]
 [-0.44913363  0.16286065]
 [-0.55146885  0.0860136 ]]","{'0001': 7, '0010': 20156, '0011': 46, '0100': 29, '0101': 14716, '0110': 14956, '0111': 31, '1000': 34, '1001': 14753, '1010': 15018, '1011': 24, '1100': 52, '1101': 20171, '1110': 5, '1111': 2}",0.9991922,"['0010', '0101', '0110', '1001', '1010', '1101']",15
37,3,"[[-0.18877855  0.40491733]
 [-0.34779078  0.19212855]
 [-0.4453654   0.24973562]
 [-0.45401278  0.32783338]
 [-0.52797776  0.2090234 ]]","{'0001': 22, '0010': 4, '0011': 26, '0100': 8, '0101': 29, '0110': 49688, '0111': 25, '1000': 19, '1001': 50066, '1010': 34, '1011': 4, '1100': 36, '1101': 6, '1110': 33}",0.99924755,"['0110', '1001']",19
38,2,"[[-0.11508693  0.4364406 ]
 [-0.264349    0.27897885]
 [-0.35205257  0.19434424]
 [-0.44913363  0.16286065]
 [-0.55146885  0.08601361]]","{'0001': 9, '0010': 30, '0011': 15005, '0100': 20068, '0101': 41, '0110': 15002, '0111': 22, '1000': 37, '1001': 14859, '1010': 41, '1011': 20139, '1100': 14713, '1101': 25, '1110': 8, '1111': 1}",0.9991922,"['0011', '0100', '0110', '1001', '1011', '1100']",15
39,3,"[[-0.18877855  0.40491733]
 [-0.34779078  0.19212855]
 [-0.4453654   0.24973562]
 [-0.45401278  0.32783338]
 [-0.52797776  0.2090234 ]]","{'0001': 36, '0010': 7, '0011': 37, '0100': 5, '0101': 29, '0110': 49840, '0111': 23, '1000': 27, '1001': 49882, '1010': 44, '1011': 7, '1100': 37, '1101': 5, '1110': 21}",0.99924755,"['0110', '1001']",19
