,Ground energy,Opt_gamma_beta,Counts,Approx. ratio,Min. key,Last iter.
0,2,"[[-0.11508694  0.43644062]
 [-0.26434904  0.27897885]
 [-0.35205257  0.19434422]
 [-0.44913363  0.16286065]
 [-0.55146885  0.0860136 ]]","{'0000': 2, '0001': 20213, '0010': 28, '0011': 15096, '0100': 31, '0101': 14951, '0110': 56, '0111': 6, '1000': 8, '1001': 45, '1010': 14658, '1011': 30, '1100': 14823, '1101': 24, '1110': 20027, '1111': 2}",0.9991922,"['0001', '0011', '0101', '1010', '1100', '1110']",15
1,2,"[[-0.11508691  0.43644056]
 [-0.26434898  0.27897888]
 [-0.35205254  0.19434422]
 [-0.4491336   0.16286066]
 [-0.55146885  0.08601362]]","{'0000': 1, '0001': 34, '0010': 34, '0011': 52, '0100': 20139, '0101': 14918, '0110': 14907, '0111': 5, '1000': 7, '1001': 14831, '1010': 14861, '1011': 20088, '1100': 62, '1101': 31, '1110': 29, '1111': 1}",0.99919206,"['0100', '0101', '0110', '1001', '1010', '1011']",15
2,2,"[[-0.11508691  0.43644056]
 [-0.26434898  0.27897885]
 [-0.35205254  0.19434424]
 [-0.44913363  0.16286066]
 [-0.55146885  0.08601362]]","{'0001': 34, '0010': 25, '0011': 60, '0100': 3, '0101': 14911, '0110': 14913, '0111': 20216, '1000': 20021, '1001': 14808, '1010': 14894, '1011': 4, '1100': 47, '1101': 27, '1110': 36, '1111': 1}",0.99919206,"['0101', '0110', '0111', '1000', '1001', '1010']",15
3,3,"[[-0.15188278  0.4164917 ]
 [-0.18651946  0.3099604 ]
 [-0.25705048  0.24250701]
 [-0.3859248   0.12789696]
 [-0.5187416   0.13891424]]","{'0011': 16718, '0101': 16613, '0110': 16785, '1001': 16732, '1010': 16536, '1100': 16616}",0.99999654,"['0011', '0101', '0110', '1001', '1010', '1100']",18
4,2,"[[-0.2775576   0.509967  ]
 [-0.37043813  0.26317173]
 [-0.43751878  0.2723774 ]
 [-0.42197657  0.23273318]
 [-0.6080191   0.20389813]]","{'0001': 153, '0010': 9, '0011': 49558, '0100': 102, '0101': 334, '0110': 7, '0111': 9, '1000': 3, '1001': 7, '1010': 329, '1011': 114, '1100': 49233, '1101': 6, '1110': 136}",0.9956255,"['0011', '1100']",14
5,3,"[[-0.18877853  0.4049173 ]
 [-0.3477908   0.19212855]
 [-0.44536543  0.24973562]
 [-0.45401275  0.32783335]
 [-0.5279777   0.2090234 ]]","{'0001': 4, '0010': 39, '0011': 35, '0100': 26, '0101': 42, '0110': 50087, '0111': 10, '1000': 5, '1001': 49610, '1010': 40, '1011': 32, '1100': 36, '1101': 23, '1110': 11}",0.99924755,"['0110', '1001']",19
6,2,"[[-0.11508693  0.43644056]
 [-0.26434898  0.27897885]
 [-0.3520526   0.19434422]
 [-0.44913363  0.16286065]
 [-0.55146885  0.0860136 ]]","{'0000': 1, '0001': 19970, '0010': 5, '0011': 51, '0100': 35, '0101': 14872, '0110': 15002, '0111': 36, '1000': 33, '1001': 14952, '1010': 14836, '1011': 22, '1100': 45, '1101': 5, '1110': 20134, '1111': 1}",0.9991922,"['0001', '0101', '0110', '1001', '1010', '1110']",15
7,3,"[[-0.18877855  0.40491733]
 [-0.34779078  0.19212855]
 [-0.4453654   0.24973562]
 [-0.45401278  0.32783338]
 [-0.52797776  0.2090234 ]]","{'0000': 1, '0001': 29, '0010': 7, '0011': 32, '0100': 8, '0101': 36, '0110': 49885, '0111': 19, '1000': 27, '1001': 49853, '1010': 25, '1011': 12, '1100': 38, '1101': 6, '1110': 22}",0.99924755,"['0110', '1001']",19
8,2,"[[-0.11508693  0.43644053]
 [-0.26434898  0.27897882]
 [-0.35205254  0.19434422]
 [-0.44913363  0.16286066]
 [-0.55146885  0.08601361]]","{'0000': 2, '0001': 6, '0010': 34, '0011': 14933, '0100': 32, '0101': 14697, '0110': 46, '0111': 20203, '1000': 20083, '1001': 35, '1010': 14909, '1011': 31, '1100': 14956, '1101': 31, '1110': 2}",0.99919206,"['0011', '0101', '0111', '1000', '1010', '1100']",15
9,3,"[[-0.18877853  0.4049173 ]
 [-0.3477908   0.19212855]
 [-0.44536543  0.24973562]
 [-0.45401275  0.32783335]
 [-0.5279777   0.2090234 ]]","{'0000': 2, '0001': 5, '0010': 21, '0011': 33, '0100': 35, '0101': 28, '0110': 49768, '0111': 10, '1000': 10, '1001': 49953, '1010': 36, '1011': 15, '1100': 43, '1101': 37, '1110': 3, '1111': 1}",0.99924755,"['0110', '1001']",19
