,Ground energy,Opt_gamma_beta,Counts,Approx. ratio,Min. key,Last iter.
0,6,"[[-0.14699608  0.47931194]
 [-0.26869956  0.31773633]
 [-0.32907018  0.24787812]
 [-0.49677292  0.15466347]
 [-0.6178676   0.08364647]]","{'000000': 3, '000010': 2, '000011': 1, '000100': 2, '000101': 2, '000110': 1, '000111': 16539, '001000': 2, '001001': 1, '001011': 16467, '001100': 28, '001101': 9, '001110': 7, '001111': 3, '010000': 2, '010001': 3, '010010': 22, '010011': 6, '010100': 1, '010101': 16562, '010110': 7, '010111': 2, '011001': 6, '011010': 8, '011011': 2, '011100': 13, '011101': 1, '011110': 20, '011111': 2, '100000': 1, '100001': 25, '100011': 10, '100100': 1, '100101': 9, '100110': 9, '101000': 3, '101001': 13, '101010': 16825, '101011': 2, '101100': 6, '101101': 37, '101110': 2, '101111': 3, '110000': 5, '110001': 11, '110010': 7, '110011': 22, '110100': 16679, '110101': 3, '110110': 2, '110111': 1, '111000': 16583, '111001': 2, '111010': 3, '111011': 2, '111100': 5, '111101': 2, '111110': 1, '111111': 2}",0.9986515,"['000111', '001011', '010101', '101010', '110100', '111000']",32
1,6,"[[-0.17154367  0.41457888]
 [-0.33519077  0.2782602 ]
 [-0.34908828  0.26684105]
 [-0.45431468  0.25422394]
 [-0.49170202  0.19357821]]","{'000000': 50, '000001': 333, '000010': 35, '000011': 208, '000100': 48, '000101': 205, '000110': 18, '000111': 767, '001000': 31, '001001': 474, '001010': 254, '001011': 751, '001100': 51, '001101': 38, '001110': 356, '001111': 64, '010000': 7, '010001': 2597, '010010': 3, '010011': 2630, '010100': 2, '010101': 2554, '010110': 33954, '010111': 2185, '011000': 72, '011001': 353, '011010': 827, '011011': 239, '011100': 26, '011101': 59, '011110': 444, '011111': 31, '100000': 48, '100001': 448, '100010': 55, '100011': 31, '100100': 246, '100101': 779, '100110': 340, '100111': 72, '101000': 2087, '101001': 34699, '101010': 2613, '101011': 4, '101100': 2551, '101101': 4, '101110': 2565, '101111': 4, '110000': 71, '110001': 364, '110010': 32, '110011': 47, '110100': 766, '110101': 246, '110110': 460, '110111': 47, '111000': 874, '111001': 15, '111010': 188, '111011': 40, '111100': 199, '111101': 37, '111110': 352, '111111': 50}",0.942932,"['010110', '101001']",18
2,5,"[[-0.19063208  0.55377626]
 [-0.3748465   0.43286255]
 [-0.42788145  0.3550323 ]
 [-0.4710456   0.2612303 ]
 [-0.49705535  0.14156993]]","{'000000': 33, '000001': 43, '000010': 4, '000011': 24572, '000100': 3, '000101': 3, '000110': 970, '000111': 333, '001000': 22, '001001': 18, '001010': 52, '001011': 46, '001100': 394, '001101': 4, '001110': 1056, '001111': 4, '010000': 7, '010001': 3, '010010': 8, '010011': 714, '010100': 48, '010101': 137, '010110': 40, '010111': 87, '011000': 43, '011001': 3, '011010': 5, '011011': 4, '011100': 21336, '011101': 118, '011110': 58, '011111': 10, '100000': 4, '100001': 41, '100010': 97, '100011': 21215, '100100': 7, '100101': 6, '100110': 4, '100111': 59, '101000': 80, '101001': 35, '101010': 124, '101011': 47, '101100': 675, '101101': 4, '101110': 2, '101111': 7, '110000': 11, '110001': 1113, '110010': 4, '110011': 393, '110100': 52, '110101': 40, '110110': 13, '110111': 15, '111000': 354, '111001': 953, '111011': 5, '111100': 24384, '111101': 3, '111110': 40, '111111': 35}",0.98196846,"['000011', '011100', '100011', '111100']",33
3,7,"[[-0.12460336  0.3662341 ]
 [-0.3209265   0.23494971]
 [-0.36601216  0.19736518]
 [-0.34503382  0.21277344]
 [-0.4775332   0.15487084]]","{'000000': 150, '000001': 41, '000010': 52, '000011': 295, '000100': 39, '000101': 342, '000110': 266, '000111': 192, '001000': 118, '001001': 231, '001010': 254, '001011': 366, '001100': 243, '001101': 380, '001110': 322, '001111': 83, '010000': 50, '010001': 14, '010010': 14, '010011': 8147, '010100': 11, '010101': 8430, '010110': 8322, '010111': 19324, '011000': 71, '011001': 391, '011010': 362, '011011': 268, '011100': 360, '011101': 246, '011110': 267, '011111': 108, '100000': 93, '100001': 255, '100010': 263, '100011': 347, '100100': 235, '100101': 379, '100110': 394, '100111': 82, '101000': 19251, '101001': 8487, '101010': 8381, '101011': 23, '101100': 8442, '101101': 13, '101110': 21, '101111': 55, '110000': 81, '110001': 361, '110010': 399, '110011': 244, '110100': 365, '110101': 275, '110110': 253, '110111': 131, '111000': 195, '111001': 305, '111010': 301, '111011': 46, '111100': 323, '111101': 51, '111110': 46, '111111': 144}",0.97731316,"['010011', '010101', '010110', '010111', '101000', '101001', '101010', '101100']",17
4,5,"[[-0.17024133  0.52758485]
 [-0.35662025  0.34307232]
 [-0.39716047  0.25044376]
 [-0.5111834   0.19303693]
 [-0.6079877   0.09968383]]","{'000000': 13, '000001': 6, '000010': 8, '000011': 143, '000100': 8, '000101': 124, '000110': 14546, '000111': 10734, '001000': 4, '001001': 43, '001010': 23, '001011': 14, '001100': 2, '001101': 12039, '001110': 28, '001111': 228, '010000': 16, '010001': 1, '010010': 57, '010011': 395, '010100': 2, '010101': 4, '010110': 11639, '010111': 10, '011000': 5, '011001': 3, '011010': 3, '011011': 21, '011100': 3, '011101': 13, '011110': 5, '100000': 1, '100001': 7, '100010': 10, '100011': 7, '100100': 22, '100101': 3, '100110': 2, '100111': 3, '101000': 22, '101001': 11462, '101011': 2, '101100': 366, '101101': 56, '101110': 10, '101111': 10, '110000': 217, '110001': 26, '110010': 12102, '110011': 1, '110100': 12, '110101': 20, '110110': 36, '110111': 2, '111000': 10752, '111001': 14399, '111010': 135, '111011': 2, '111100': 141, '111101': 3, '111110': 10, '111111': 19}",0.9950296,"['000110', '000111', '001101', '010110', '101001', '110010', '111000', '111001']",59
5,8,"[[-0.1750931   0.40205896]
 [-0.39939204  0.2760498 ]
 [-0.42461962  0.2944373 ]
 [-0.3865829   0.25967333]
 [-0.46064517  0.18768391]]","{'000000': 138, '000001': 14, '000010': 29, '000011': 279, '000100': 40, '000101': 10, '000110': 63, '000111': 701, '001000': 24, '001001': 266, '001010': 1304, '001011': 730, '001100': 56, '001101': 739, '001110': 1120, '001111': 300, '010000': 18, '010001': 289, '010010': 1295, '010011': 661, '010100': 89, '010101': 655, '010110': 1135, '010111': 253, '011000': 1244, '011001': 645, '011010': 36753, '011011': 16, '011100': 1074, '011101': 280, '011110': 3, '011111': 13, '100000': 20, '100001': 10, '100010': 255, '100011': 1141, '100100': 10, '100101': 36210, '100110': 711, '100111': 1288, '101000': 288, '101001': 1113, '101010': 690, '101011': 80, '101100': 691, '101101': 1258, '101110': 311, '101111': 24, '110000': 281, '110001': 1122, '110010': 691, '110011': 83, '110100': 685, '110101': 1209, '110110': 264, '110111': 38, '111000': 710, '111001': 68, '111010': 8, '111011': 35, '111100': 290, '111101': 28, '111110': 16, '111111': 136}",0.95370793,"['011010', '100101']",37
6,8,"[[-0.1252522   0.5046193 ]
 [-0.26060197  0.39243084]
 [-0.26380262  0.3926243 ]
 [-0.28991407  0.30827212]
 [-0.3622131   0.16688453]]","{'000000': 4, '000001': 1, '000010': 3, '000011': 5, '000100': 1, '000101': 5, '000110': 2, '000111': 10, '001000': 1, '001001': 3, '001010': 40, '001011': 16, '001100': 1, '001101': 11, '001110': 12, '001111': 3, '010000': 2, '010001': 11, '010010': 1, '010011': 10, '010100': 7, '010101': 49648, '010110': 11, '010111': 23, '011000': 1, '011001': 7, '011010': 12, '011011': 5, '011100': 14, '011101': 18, '011110': 6, '100001': 7, '100010': 9, '100011': 14, '100100': 1, '100101': 18, '100110': 8, '100111': 2, '101000': 18, '101001': 12, '101010': 49857, '101011': 7, '101100': 12, '101101': 4, '101110': 8, '110000': 4, '110001': 13, '110010': 10, '110011': 6, '110100': 14, '110101': 37, '110110': 1, '110111': 1, '111000': 18, '111001': 4, '111010': 13, '111011': 1, '111100': 1, '111101': 2, '111111': 4}",0.9982582,"['010101', '101010']",61
7,7,"[[-0.16953044  0.40743455]
 [-0.36879203  0.3229229 ]
 [-0.3654632   0.38514563]
 [-0.32343683  0.32881334]
 [-0.4305452   0.24930096]]","{'000000': 197, '000001': 10, '000010': 54, '000011': 29, '000100': 48, '000101': 31, '000110': 87, '000111': 113, '001000': 8, '001001': 3, '001010': 27, '001011': 98, '001100': 17, '001101': 89, '001110': 115, '001111': 2, '010000': 11, '010001': 3, '010010': 33, '010011': 81, '010100': 23, '010101': 91, '010110': 117, '010111': 3, '011000': 4, '011001': 110, '011010': 8, '011011': 30, '011100': 48701, '011101': 20, '011110': 11, '011111': 4, '100000': 13, '100001': 7, '100010': 22, '100011': 48331, '100100': 21, '100101': 5, '100110': 113, '100111': 10, '101000': 1, '101001': 128, '101010': 85, '101011': 19, '101100': 99, '101101': 24, '101110': 3, '101111': 11, '110000': 2, '110001': 112, '110010': 69, '110011': 24, '110100': 73, '110101': 25, '110110': 5, '110111': 10, '111000': 101, '111001': 93, '111010': 31, '111011': 49, '111100': 30, '111101': 73, '111110': 12, '111111': 221}",0.9872027,"['011100', '100011']",26
8,6,"[[-0.18421657  0.5374505 ]
 [-0.3704355   0.36613232]
 [-0.40472293  0.2569908 ]
 [-0.47384843  0.22434454]
 [-0.5895799   0.14152065]]","{'000000': 47, '000001': 28, '000010': 7, '000011': 4, '000100': 1, '000101': 9, '000110': 656, '000111': 1010, '001000': 4, '001001': 2, '001010': 10, '001011': 377, '001100': 42, '001101': 8, '001111': 141, '010001': 19, '010010': 35, '010011': 4, '010100': 479, '010101': 2, '010110': 21832, '010111': 4, '011000': 682, '011001': 1018, '011010': 1, '011011': 119, '011100': 21980, '011101': 6, '011110': 1282, '011111': 4, '100000': 5, '100001': 1220, '100010': 5, '100011': 22227, '100100': 152, '100101': 2, '100110': 1043, '100111': 702, '101000': 6, '101001': 21929, '101010': 2, '101011': 420, '101100': 9, '101101': 47, '101110': 10, '101111': 3, '110000': 136, '110010': 4, '110011': 50, '110100': 335, '110101': 7, '110110': 5, '110111': 5, '111000': 1056, '111001': 716, '111010': 9, '111011': 4, '111100': 6, '111101': 9, '111110': 28, '111111': 35}",0.97954214,"['010110', '011100', '100011', '101001']",38
9,7,"[[-0.16953045  0.40743455]
 [-0.36879203  0.3229229 ]
 [-0.3654632   0.38514563]
 [-0.32343686  0.32881334]
 [-0.4305452   0.24930097]]","{'000000': 223, '000001': 40, '000010': 5, '000011': 22, '000100': 64, '000101': 92, '000110': 26, '000111': 102, '001000': 15, '001001': 28, '001010': 2, '001011': 87, '001100': 21, '001101': 118, '001110': 92, '001111': 3, '010000': 11, '010001': 28, '010010': 7, '010011': 48602, '010100': 24, '010101': 110, '010110': 7, '010111': 5, '011000': 8, '011001': 80, '011010': 125, '011011': 16, '011100': 93, '011101': 3, '011110': 31, '011111': 11, '100000': 13, '100001': 35, '100010': 5, '100011': 85, '100100': 20, '100101': 131, '100110': 83, '100111': 3, '101000': 5, '101001': 4, '101010': 113, '101011': 26, '101100': 48421, '101101': 7, '101110': 20, '101111': 9, '110000': 3, '110001': 79, '110010': 101, '110011': 26, '110100': 90, '110101': 4, '110110': 22, '110111': 18, '111000': 108, '111001': 32, '111010': 79, '111011': 69, '111100': 20, '111101': 16, '111110': 61, '111111': 191}",0.9872027,"['010011', '101100']",26
