,Ground energy,Opt_gamma_beta,Counts,Approx. ratio,Min. key,Last iter.
10,7,"[[-0.1489304   0.54332364]
 [-0.30364653  0.4509488 ]
 [-0.34989297  0.41289407]
 [-0.39225218  0.3410874 ]
 [-0.4525384   0.1650478 ]]","{'000000': 32, '000010': 19, '000011': 5, '000100': 1, '000110': 57, '000111': 3, '001000': 12, '001001': 35, '001010': 2, '001011': 46, '001100': 10, '001101': 41, '001110': 20, '001111': 2, '010000': 29, '010001': 165, '010010': 2267, '010011': 46754, '010100': 3, '010101': 18, '010110': 34, '010111': 8, '011000': 1, '011001': 275, '011010': 5, '011011': 45, '011100': 1, '011101': 46, '011110': 1, '011111': 1, '100001': 2, '100010': 54, '100011': 2, '100100': 36, '100101': 11, '100110': 309, '101000': 7, '101001': 32, '101010': 31, '101011': 4, '101100': 46741, '101101': 2325, '101110': 167, '101111': 32, '110000': 6, '110001': 26, '110010': 30, '110011': 9, '110100': 56, '110101': 3, '110110': 34, '110111': 16, '111000': 2, '111001': 60, '111100': 11, '111101': 26, '111111': 30}",0.98793817,"['010011', '101100']",58
11,7,"[[-0.17421257  0.49828365]
 [-0.3352487   0.38206208]
 [-0.34444547  0.33673546]
 [-0.38867885  0.29120138]
 [-0.4804806   0.18259583]]","{'000000': 141, '000001': 35, '000011': 289, '000100': 12, '000101': 27, '000110': 25, '000111': 25, '001000': 18, '001001': 28, '001010': 25, '001011': 33, '001100': 116, '001101': 187, '001110': 57, '001111': 2, '010000': 75, '010001': 5486, '010010': 219, '010011': 38283, '010100': 34, '010101': 2138, '010110': 19, '010111': 138, '011000': 48, '011001': 2142, '011010': 21, '011011': 139, '011100': 110, '011101': 6, '011110': 28, '011111': 44, '100000': 37, '100001': 21, '100010': 1, '100011': 96, '100100': 123, '100101': 16, '100110': 2110, '100111': 49, '101000': 145, '101001': 14, '101010': 2115, '101011': 56, '101100': 38380, '101101': 208, '101110': 5561, '101111': 78, '110000': 2, '110001': 51, '110010': 195, '110011': 133, '110100': 33, '110101': 23, '110110': 33, '110111': 13, '111000': 20, '111001': 22, '111010': 31, '111011': 12, '111100': 297, '111101': 2, '111110': 39, '111111': 134}",0.961234,"['010011', '101100']",18
12,5,"[[-0.26520273  0.5382288 ]
 [-0.51367074  0.43102354]
 [-0.5915907   0.3759468 ]
 [-0.5712829   0.35699397]
 [-0.63929284  0.21179263]]","{'000000': 35, '000001': 20, '000010': 194, '000011': 607, '000100': 21, '000101': 78, '000110': 57, '000111': 29, '001000': 31, '001001': 1629, '001010': 53, '001011': 1391, '001100': 57, '001101': 665, '001110': 202, '001111': 1, '010000': 23, '010001': 105, '010010': 614, '010011': 39123, '010100': 1599, '010101': 542, '010110': 1369, '010111': 29, '011000': 109, '011001': 570, '011010': 20, '011011': 35, '011100': 705, '011101': 266, '011110': 4, '011111': 82, '100000': 71, '100001': 1, '100010': 236, '100011': 643, '100100': 19, '100101': 29, '100110': 510, '100111': 88, '101000': 34, '101001': 1344, '101010': 512, '101011': 1527, '101100': 38847, '101101': 620, '101110': 102, '101111': 20, '110000': 3, '110001': 209, '110010': 702, '110011': 65, '110100': 1399, '110101': 50, '110110': 1555, '110111': 32, '111000': 27, '111001': 46, '111010': 87, '111011': 26, '111100': 671, '111101': 213, '111110': 24, '111111': 23}",0.94886947,"['010011', '101100']",54
13,5,"[[-0.2236556   0.5272544 ]
 [-0.41826156  0.39318407]
 [-0.4300661   0.29604337]
 [-0.491734    0.27771828]
 [-0.56984985  0.19177954]]","{'000000': 87, '000001': 41, '000010': 7, '000011': 159, '000100': 65, '000101': 48, '000110': 3, '000111': 13, '001000': 149, '001001': 2098, '001010': 745, '001011': 106, '001100': 485, '001101': 48, '001110': 40570, '001111': 161, '010000': 11, '010001': 109, '010010': 346, '010011': 931, '010100': 8, '010101': 1, '010110': 2285, '010111': 38, '011000': 20, '011001': 147, '011010': 44, '011011': 4, '011100': 87, '011101': 44, '011110': 1203, '011111': 25, '100000': 21, '100001': 1156, '100010': 44, '100011': 103, '100100': 7, '100101': 35, '100110': 141, '100111': 15, '101000': 28, '101001': 2330, '101010': 1, '101011': 10, '101100': 942, '101101': 325, '101110': 93, '101111': 15, '110000': 162, '110001': 40413, '110010': 45, '110011': 464, '110100': 138, '110101': 732, '110110': 2120, '110111': 137, '111000': 6, '111001': 8, '111010': 64, '111011': 62, '111100': 173, '111101': 3, '111110': 53, '111111': 66}",0.9585154,"['001110', '110001']",25
14,7,"[[-0.18082958  0.45021114]
 [-0.35111666  0.3106861 ]
 [-0.38126394  0.27129722]
 [-0.4925165   0.24233097]
 [-0.55781543  0.15174508]]","{'000000': 278, '000001': 14, '000010': 155, '000011': 52, '000100': 16, '000101': 21, '000110': 34, '000111': 28284, '001000': 30, '001001': 272, '001010': 12, '001011': 7, '001100': 283, '001101': 498, '001110': 7, '001111': 57, '010000': 334, '010001': 10, '010010': 4, '010011': 1446, '010100': 8, '010101': 14, '010110': 1385, '010111': 1356, '011000': 2431, '011001': 1643, '011010': 4484, '011011': 2550, '011100': 1626, '011101': 131, '011110': 2539, '011111': 44, '100000': 49, '100001': 2497, '100010': 127, '100011': 1612, '100100': 2546, '100101': 4388, '100110': 1625, '100111': 2595, '101000': 1445, '101001': 1342, '101010': 11, '101011': 6, '101100': 1344, '101101': 8, '101110': 6, '101111': 380, '110000': 71, '110001': 7, '110010': 500, '110011': 247, '110100': 8, '110101': 24, '110110': 256, '110111': 33, '111000': 28233, '111001': 46, '111010': 18, '111011': 22, '111100': 39, '111101': 152, '111110': 15, '111111': 323}",0.9301982,"['000111', '111000']",55
15,5,"[[-0.15040575  0.4480674 ]
 [-0.24649674  0.2479961 ]
 [-0.30895004  0.23789838]
 [-0.456716    0.19508004]
 [-0.535959    0.09454004]]","{'000000': 6, '000010': 1, '000011': 7898, '000101': 6, '000110': 19, '000111': 67, '001001': 1, '001010': 72, '001011': 11098, '001100': 2, '001101': 3, '001110': 5, '010001': 18, '010010': 4, '010011': 82, '010100': 8049, '010101': 74, '010110': 79, '010111': 11, '011000': 58, '011001': 6, '011010': 10962, '011011': 74, '011100': 11162, '011110': 74, '100000': 1, '100001': 65, '100011': 11363, '100100': 87, '100101': 11007, '100110': 7, '100111': 80, '101000': 10, '101001': 67, '101010': 82, '101011': 7979, '101100': 88, '101101': 3, '101110': 11, '110001': 6, '110010': 1, '110011': 1, '110100': 11138, '110101': 73, '111000': 69, '111001': 22, '111010': 4, '111011': 1, '111100': 8002, '111110': 1, '111111': 1}",0.9973908,"['000011', '001011', '010100', '011010', '011100', '100011', '100101', '101011', '110100', '111100']",25
16,7,"[[-0.16847584  0.4915176 ]
 [-0.33603352  0.3835375 ]
 [-0.37038288  0.3641329 ]
 [-0.44647926  0.3009228 ]
 [-0.50967413  0.15240791]]","{'000000': 274, '000010': 11, '000011': 86, '000101': 2, '000110': 81, '000111': 41968, '001000': 79, '001001': 8, '001010': 15, '001011': 15, '001100': 5, '001101': 76, '001110': 15, '001111': 149, '010000': 46, '010001': 109, '010010': 43, '010011': 55, '010100': 112, '010101': 3321, '010110': 58, '010111': 2704, '011000': 336, '011001': 43, '011010': 216, '011011': 1, '011100': 32, '011110': 6, '011111': 7, '100000': 16, '100001': 4, '100011': 52, '100100': 6, '100101': 208, '100110': 36, '100111': 368, '101000': 2674, '101001': 56, '101010': 3400, '101011': 128, '101100': 50, '101101': 72, '101110': 117, '101111': 52, '110000': 184, '110001': 22, '110010': 71, '110011': 4, '110100': 22, '110101': 6, '110110': 5, '110111': 95, '111000': 41973, '111001': 112, '111100': 86, '111101': 15, '111111': 293}",0.96903837,"['000111', '111000']",63
17,8,"[[-0.16168392  0.36030662]
 [-0.2915594   0.22041419]
 [-0.2480474   0.27537197]
 [-0.33840337  0.37414223]
 [-0.46825796  0.22426815]]","{'000000': 6, '000001': 1, '000011': 258, '000100': 3, '000101': 260, '000110': 260, '000111': 48595, '001001': 14, '001010': 9, '001011': 49, '001100': 21, '001101': 56, '001110': 56, '010000': 1, '010001': 17, '010010': 11, '010011': 53, '010100': 9, '010101': 52, '010110': 49, '010111': 4, '011000': 5, '011001': 50, '011010': 54, '011011': 10, '011100': 56, '011101': 14, '011110': 15, '011111': 1, '100000': 1, '100001': 12, '100010': 10, '100011': 64, '100100': 12, '100101': 42, '100110': 41, '100111': 2, '101000': 5, '101001': 56, '101010': 54, '101011': 11, '101100': 62, '101101': 14, '101110': 12, '101111': 1, '110000': 4, '110001': 47, '110010': 43, '110011': 11, '110100': 48, '110101': 14, '110110': 12, '111000': 48616, '111001': 267, '111010': 267, '111011': 1, '111100': 269, '111101': 2, '111110': 1, '111111': 10}",0.99507374,"['000111', '111000']",51
18,4,"[[-0.19565262  0.58260256]
 [-0.41155365  0.40900654]
 [-0.4748604   0.31320095]
 [-0.53903216  0.2417304 ]
 [-0.5589163   0.12396219]]","{'000000': 7, '000001': 15, '000010': 3, '000011': 12573, '000100': 11, '000101': 369, '000110': 4, '000111': 31, '001000': 7, '001001': 12711, '001011': 23891, '001100': 5, '001101': 39, '001110': 9, '001111': 4, '010000': 4, '010001': 1, '010010': 4, '010011': 11, '010100': 68, '010101': 18, '010110': 10, '010111': 7, '011000': 12, '011001': 14, '011010': 25, '011011': 65, '011100': 14, '011101': 12, '011111': 3, '100000': 5, '100001': 1, '100010': 13, '100011': 14, '100100': 65, '100101': 19, '100110': 13, '100111': 8, '101000': 8, '101001': 6, '101010': 19, '101011': 59, '101100': 15, '101101': 11, '101111': 5, '110000': 2, '110001': 12, '110010': 20, '110011': 4, '110100': 23934, '110110': 12659, '110111': 8, '111000': 37, '111001': 3, '111010': 408, '111011': 15, '111100': 12652, '111101': 8, '111110': 16, '111111': 14}",0.9958502,"['000011', '001001', '001011', '110100', '110110', '111100']",118
19,7,"[[-0.15351637  0.463763  ]
 [-0.30891654  0.32873607]
 [-0.32082665  0.26795813]
 [-0.37312192  0.29590687]
 [-0.3741919   0.18435569]]","{'000000': 25, '000001': 3, '000010': 7, '000011': 48087, '000100': 9, '000101': 13, '000110': 15, '000111': 260, '001000': 7, '001001': 13, '001010': 19, '001011': 263, '001100': 7, '001101': 4, '001110': 4, '001111': 2, '010000': 1, '010001': 21, '010010': 11, '010011': 298, '010100': 19, '010101': 197, '010110': 182, '010111': 18, '011000': 17, '011001': 169, '011010': 160, '011011': 18, '011100': 282, '011101': 12, '011110': 21, '011111': 9, '100000': 4, '100001': 14, '100010': 12, '100011': 280, '100100': 21, '100101': 176, '100110': 208, '100111': 12, '101000': 14, '101001': 180, '101010': 217, '101011': 28, '101100': 278, '101101': 23, '101110': 17, '101111': 1, '110000': 5, '110001': 6, '110010': 4, '110011': 13, '110100': 266, '110101': 14, '110110': 9, '110111': 6, '111000': 243, '111001': 21, '111010': 17, '111011': 8, '111100': 47700, '111101': 2, '111110': 4, '111111': 24}",0.991263,"['000011', '111100']",29
20,5,"[[-0.20805082  0.5306461 ]
 [-0.4167194   0.38739505]
 [-0.4440061   0.30442902]
 [-0.46536276  0.26180443]
 [-0.59421736  0.16462472]]","{'000000': 31, '000010': 85, '000011': 13, '000101': 50, '000110': 15, '000111': 2109, '001000': 139, '001001': 127, '001010': 1608, '001011': 2853, '001100': 110, '001101': 80, '001110': 2844, '001111': 3473, '010000': 14, '010001': 54, '010010': 120, '010011': 1, '010100': 44, '010101': 35203, '010110': 2, '010111': 624, '011000': 66, '011001': 106, '011010': 11, '011011': 16, '011100': 114, '011101': 54, '011110': 18, '011111': 46, '100000': 57, '100001': 23, '100010': 48, '100011': 109, '100100': 28, '100101': 8, '100110': 119, '100111': 69, '101000': 578, '101001': 2, '101010': 35283, '101011': 39, '101100': 1, '101101': 126, '101110': 58, '101111': 10, '110000': 3470, '110001': 2786, '110010': 65, '110011': 130, '110100': 2739, '110101': 1635, '110110': 134, '110111': 152, '111000': 2104, '111001': 15, '111010': 54, '111011': 2, '111100': 12, '111101': 87, '111110': 1, '111111': 26}",0.943614,"['010101', '101010']",24
21,7,"[[-0.12208215  0.46934068]
 [-0.273288    0.32753024]
 [-0.29781684  0.30542606]
 [-0.33704138  0.21405129]
 [-0.39444554  0.09189837]]","{'000000': 25, '000001': 5, '000010': 5, '000011': 26214, '000100': 1, '000111': 7809, '001001': 1, '001010': 1, '001011': 7871, '001100': 15, '001101': 22, '001110': 20, '001111': 6, '010000': 1, '010001': 1, '010010': 1, '010011': 7921, '010100': 13, '010101': 23, '010110': 18, '010111': 7, '011000': 15, '011001': 16, '011010': 20, '011011': 5, '011100': 83, '011101': 1, '011111': 7, '100000': 7, '100001': 1, '100010': 2, '100011': 93, '100100': 5, '100101': 10, '100110': 20, '100111': 14, '101000': 11, '101001': 18, '101010': 22, '101011': 12, '101100': 7936, '101110': 1, '110000': 9, '110001': 16, '110010': 18, '110011': 23, '110100': 7739, '110110': 2, '111000': 7862, '111010': 1, '111011': 1, '111100': 26021, '111101': 5, '111110': 5, '111111': 19}",0.99790835,"['000011', '000111', '001011', '010011', '101100', '110100', '111000', '111100']",18
22,6,"[[-0.19616295  0.55797744]
 [-0.40558228  0.4761987 ]
 [-0.47685575  0.3913099 ]
 [-0.51984113  0.33957422]
 [-0.5370158   0.19391881]]","{'000000': 12, '000001': 11, '000011': 356, '000100': 3, '000101': 2, '000110': 39, '000111': 837, '001001': 21, '001010': 13, '001011': 9, '001100': 32, '001101': 4, '001110': 39, '001111': 11, '010000': 35, '010001': 16, '010010': 696, '010011': 918, '010100': 14, '010101': 5, '010110': 326, '010111': 337, '011000': 691, '011001': 2, '011010': 45189, '011100': 305, '011101': 25, '011110': 4, '011111': 16, '100000': 13, '100001': 8, '100010': 32, '100011': 312, '100100': 2, '100101': 45166, '100110': 7, '100111': 659, '101000': 338, '101001': 303, '101010': 8, '101011': 22, '101100': 923, '101101': 751, '101110': 8, '101111': 41, '110000': 16, '110001': 28, '110010': 8, '110011': 36, '110100': 4, '110101': 16, '110110': 27, '111000': 929, '111001': 26, '111010': 1, '111011': 4, '111100': 308, '111110': 13, '111111': 23}",0.98000187,"['011010', '100101']",39
23,5,"[[-0.17009722  0.554681  ]
 [-0.372079    0.3954563 ]
 [-0.4543018   0.30607247]
 [-0.48911318  0.23783305]
 [-0.5152207   0.1277941 ]]","{'000000': 69, '000001': 13, '000010': 8, '000011': 77, '000100': 12, '000101': 15556, '000110': 81, '000111': 5361, '001000': 7, '001010': 9585, '001011': 54, '001101': 5, '001110': 59, '001111': 20, '010001': 2, '010010': 12, '010011': 115, '010100': 21, '010101': 9635, '010110': 3, '010111': 7, '011000': 6, '011001': 105, '011010': 9564, '011011': 5, '011101': 23, '011110': 13, '011111': 1, '100000': 2, '100001': 12, '100010': 22, '100011': 6, '100100': 4, '100101': 9492, '100110': 116, '100111': 6, '101000': 13, '101001': 6, '101010': 9384, '101011': 17, '101100': 105, '101101': 18, '101110': 4, '101111': 1, '110000': 24, '110001': 59, '110010': 7, '110100': 49, '110101': 9579, '110110': 1, '110111': 22, '111000': 5073, '111001': 66, '111010': 15326, '111011': 13, '111100': 69, '111101': 10, '111110': 12, '111111': 63}",0.9956649,"['000101', '000111', '001010', '010101', '011010', '100101', '101010', '110101', '111000', '111010']",62
24,8,"[[-0.09169628  0.3315777 ]
 [-0.2090912   0.23631656]
 [-0.3751295   0.20500632]
 [-0.4464513   0.16931272]
 [-0.5224207   0.12967944]]","{'000000': 23, '000001': 12, '000010': 17, '000011': 130, '000100': 39, '000101': 10, '000110': 7, '000111': 475, '001000': 52, '001001': 4, '001010': 14, '001011': 432, '001100': 3185, '001101': 10648, '001110': 10731, '001111': 145, '010000': 12, '010001': 122, '010010': 149, '010011': 10860, '010100': 10, '010101': 419, '010110': 464, '010111': 11, '011000': 11, '011001': 437, '011010': 455, '011011': 11, '011100': 10737, '011101': 118, '011110': 118, '011111': 13, '100000': 18, '100001': 136, '100010': 145, '100011': 10778, '100100': 13, '100101': 478, '100110': 447, '100111': 9, '101000': 10, '101001': 459, '101010': 442, '101011': 16, '101100': 10655, '101101': 114, '101110': 126, '101111': 12, '110000': 142, '110001': 10935, '110010': 10684, '110011': 3262, '110100': 500, '110101': 10, '110110': 11, '110111': 37, '111000': 456, '111001': 8, '111010': 13, '111011': 32, '111100': 131, '111101': 15, '111110': 16, '111111': 19}",0.9831442,"['001101', '001110', '010011', '011100', '100011', '101100', '110001', '110010']",17
